Subject, Start Date, Start Time, End Date, End Time
TUTO Hockey A - KalPa,09/16/2017,04:00 PM,09/16/2017,06:30 PM
TUTO Hockey A - SaiPa,09/17/2017,03:30 PM,09/17/2017,06:00 PM
TUTO Hockey A - Pelicans,09/24/2017,03:30 PM,09/24/2017,06:00 PM
TUTO Hockey A - Ässät,09/30/2017,01:30 PM,09/30/2017,04:00 PM
TUTO Hockey A - Jukurit,10/01/2017,03:30 PM,10/01/2017,06:00 PM
TUTO Hockey A - Sport,10/15/2017,03:30 PM,10/15/2017,06:00 PM
TUTO Hockey A - HIFK,10/21/2017,01:30 PM,10/21/2017,04:00 PM
TUTO Hockey A - Ilves,10/28/2017,01:30 PM,10/28/2017,04:00 PM
TUTO Hockey A - Blues,11/18/2017,01:30 PM,11/18/2017,04:00 PM
TUTO Hockey A - Jokerit,11/19/2017,03:30 PM,11/19/2017,06:00 PM
TUTO Hockey A - TPS,12/02/2017,01:30 PM,12/02/2017,04:00 PM
TUTO Hockey A - Tappara,12/05/2017,06:30 PM,12/05/2017,09:00 PM
TUTO Hockey A - JYP,12/10/2017,03:30 PM,12/10/2017,06:00 PM
TUTO Hockey A - Lukko,12/16/2017,05:30 PM,12/16/2017,08:00 PM
