Subject, Start Date, Start Time, End Date, End Time
TUTO Hockey - Sport,9/11/2013,06:30 PM,9/11/2013,09:00 PM
TUTO Hockey - K-Vantaa,9/18/2013,06:30 PM,9/18/2013,09:00 PM
TUTO Hockey - LeKi,9/25/2013,06:30 PM,9/25/2013,09:00 PM
TUTO Hockey - Jukurit,10/2/2013,06:30 PM,10/2/2013,09:00 PM
TUTO Hockey - JYP-Akatemia,10/4/2013,06:30 PM,10/4/2013,09:00 PM
TUTO Hockey - KooKoo,10/11/2013,06:30 PM,10/11/2013,09:00 PM
TUTO Hockey - Hokki,10/18/2013,06:30 PM,10/18/2013,09:00 PM
TUTO Hockey - Peliitat,10/23/2013,06:30 PM,10/23/2013,09:00 PM
TUTO Hockey - Sport,10/30/2013,06:30 PM,10/30/2013,09:00 PM
TUTO Hockey - Sport,11/2/2013,05:00 PM,11/2/2013,07:30 PM
TUTO Hockey - SaPKo,11/15/2013,06:30 PM,11/15/2013,09:00 PM
TUTO Hockey - K-Vantaa,11/22/2013,06:30 PM,11/22/2013,09:00 PM
TUTO Hockey - Jokipojat,11/29/2013,06:30 PM,11/29/2013,09:00 PM
TUTO Hockey - LeKi,12/4/2013,06:30 PM,12/4/2013,09:00 PM
TUTO Hockey - Jukurit,12/6/2013,04:00 PM,12/6/2013,06:30 PM
TUTO Hockey - HCK,12/11/2013,06:30 PM,12/11/2013,09:00 PM
TUTO Hockey - SaPKo,12/14/2013,05:00 PM,12/14/2013,07:30 PM
TUTO Hockey - Sport,12/28/2013,05:00 PM,12/28/2013,07:30 PM
TUTO Hockey - LeKi,1/4/2014,05:00 PM,1/4/2014,07:30 PM
TUTO Hockey - JYP-Akatemia,1/15/2014,06:30 PM,1/15/2014,09:00 PM
TUTO Hockey - LeKi,1/24/2014,06:30 PM,1/24/2014,09:00 PM
TUTO Hockey - Peliitat,1/29/2014,06:30 PM,1/29/2014,09:00 PM
TUTO Hockey - Jokipojat,2/1/2014,05:00 PM,2/1/2014,07:30 PM
TUTO Hockey - HCK,2/5/2014,06:30 PM,2/5/2014,09:00 PM
TUTO Hockey - KooKoo,2/8/2014,05:00 PM,2/8/2014,07:30 PM
TUTO Hockey - Hokki,2/14/2014,06:30 PM,2/14/2014,09:00 PM
