Subject, Start Date, Start Time, End Date, End Time
TUTO Hockey - LeKi,9/8/2017,06:30 PM,9/8/2017,09:00 PM
TUTO Hockey - Espoo United,9/15/2017,06:30 PM,9/15/2017,09:00 PM
TUTO Hockey - KeuPa HT,10/04/2017,06:30 PM,10/04/2017,09:00 PM
TUTO Hockey - IPK,10/06/2017,06:30 PM,10/06/2017,09:00 PM
TUTO Hockey - Hermes,10/11/2017,06:30 PM,10/11/2017,09:00 PM
TUTO Hockey - RoKi,10/13/2017,06:30 PM,10/13/2017,09:00 PM
TUTO Hockey - Ketterä,10/21/2017,05:00 PM,10/21/2017,07:30 PM
TUTO Hockey - Peliitat,10/27/2017,06:30 PM,10/27/2017,09:00 PM
TUTO Hockey - LeKi,11/01/2017,06:30 PM,11/01/2017,09:00 PM
TUTO Hockey - IPK,11/03/2017,06:30 PM,11/03/2017,09:00 PM
TUTO Hockey - Espoo United,11/15/2017,06:30 PM,11/15/2017,09:00 PM
TUTO Hockey - K-Vantaa,11/18/2017,05:00 PM,11/18/2017,07:30 PM
TUTO Hockey - Ketterä,12/01/2017,06:30 PM,12/01/2017,09:00 PM
TUTO Hockey - Espoo United,12/13/2017,06:30 PM,12/13/2017,09:00 PM
TUTO Hockey - Peliitat,12/15/2017,06:30 PM,12/15/2017,09:00 PM
TUTO Hockey - Espoo United,12/29/2017,06:30 PM,12/29/2017,09:00 PM
TUTO Hockey - LeKi,01/03/2018,06:30 PM,01/03/2018,09:00 PM
TUTO Hockey - RoKi,01/06/2018,05:00 PM,01/06/2018,07:30 PM
TUTO Hockey - K-Vantaa,01/12/2018,06:30 PM,01/12/2018,09:00 PM
TUTO Hockey - LeKi,01/17/2018,06:30 PM,01/17/2018,09:00 PM
TUTO Hockey - KeuPa HT,01/24/2018,06:30 PM,01/24/2018,09:00 PM
TUTO Hockey - Jokipojat,02/02/2018,06:30 PM,02/02/2018,09:00 PM
TUTO Hockey - SaPKo,02/09/2018,06:30 PM,02/09/2018,09:00 PM
TUTO Hockey - K-Vantaa,02/14/2018,06:30 PM,02/14/2018,09:00 PM
TUTO Hockey - Jokipojat,02/23/2018,06:30 PM,02/23/2018,09:00 PM
TUTO Hockey - SaPKo,03/02/2018,06:30 PM,03/02/2018,09:00 PM
TUTO Hockey - Hermes,03/07/2018,06:30 PM,03/07/2018,09:00 PM
